location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
9507,Ceboruco,no2,0.014,ppm,2023-01-10T22:00:00+00:00,2023-01-10T16:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.02,ppm,2023-01-10T23:00:00+00:00,2023-01-10T17:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.033,ppm,2023-01-11T00:00:00+00:00,2023-01-10T18:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.037,ppm,2023-01-11T01:00:00+00:00,2023-01-10T19:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.033,ppm,2023-01-11T02:00:00+00:00,2023-01-10T20:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.038,ppm,2023-01-11T03:00:00+00:00,2023-01-10T21:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.039,ppm,2023-01-11T04:00:00+00:00,2023-01-10T22:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.023,ppm,2023-01-11T05:00:00+00:00,2023-01-10T23:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.025,ppm,2023-01-11T06:00:00+00:00,2023-01-11T00:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.017,ppm,2023-01-11T07:00:00+00:00,2023-01-11T01:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.013,ppm,2023-01-11T08:00:00+00:00,2023-01-11T02:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.018,ppm,2023-01-11T09:00:00+00:00,2023-01-11T03:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.016,ppm,2023-01-11T10:00:00+00:00,2023-01-11T04:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.018,ppm,2023-01-11T11:00:00+00:00,2023-01-11T05:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.025,ppm,2023-01-11T12:00:00+00:00,2023-01-11T06:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.031,ppm,2023-01-11T13:00:00+00:00,2023-01-11T07:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.039,ppm,2023-01-11T14:00:00+00:00,2023-01-11T08:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.03,ppm,2023-01-11T15:00:00+00:00,2023-01-11T09:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.033,ppm,2023-01-11T16:00:00+00:00,2023-01-11T10:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.015,ppm,2023-01-11T17:00:00+00:00,2023-01-11T11:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.007,ppm,2023-01-16T07:00:00+00:00,2023-01-16T01:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.007,ppm,2023-01-16T08:00:00+00:00,2023-01-16T02:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.033,ppm,2023-01-18T17:00:00+00:00,2023-01-18T11:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.042,ppm,2023-01-18T18:00:00+00:00,2023-01-18T12:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.027,ppm,2023-01-18T19:00:00+00:00,2023-01-18T13:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
9507,Ceboruco,no2,0.029,ppm,2023-01-18T20:00:00+00:00,2023-01-18T14:00:00-06:00,America/Mexico_City,19.26030556,-99.64572222,,,,Unknown Governmental Organization,Sinaica Mexico
